nom_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,date_mise_en_service,date_maj
Jouet sur l Aubois,rue des Ecoles - 18320 JOUET SUR L AUBOIS,18118,"[47.0455613,2.9875759]",1,03/09/2017,7/13/2022
Jouet sur l Aubois,rue des Ecoles - 18320 JOUET SUR L AUBOIS,18118,"[47.0455613,2.9875759]",1,03/09/2017,7/13/2022
Lere,Bord du canal - 18240 LERE,18125,"[47.4736226,2.8750411]",1,1/20/2016,7/13/2022
Lere,Bord du canal - 18240 LERE,18125,"[47.4736226,2.8750411]",1,1/20/2016,7/13/2022
Levet,Place de l Eglise - 18340 LEVET,18126,"[46.9254674,2.4072566]",1,1/17/2018,7/13/2022
Levet,Place de l Eglise - 18340 LEVET,18126,"[46.9254674,2.4072566]",1,1/17/2018,7/13/2022
Maisonnais,Le Bourg - 18170 MAISONNAIS,18135,"[46.6395865,2.2154698]",1,2/21/2018,7/13/2022
Maisonnais,Le Bourg - 18170 MAISONNAIS,18135,"[46.6395865,2.2154698]",1,2/21/2018,7/13/2022
Marmagne,Place de la Mairie - 18500 MARMAGNE,18138,"[47.10178,2.2839464]",1,3/20/2017,7/13/2022
Marmagne,Place de la Mairie - 18500 MARMAGNE,18138,"[47.10178,2.2839464]",1,3/20/2017,7/13/2022
Marseilles les Aubigny,Rue du Port - 18320 MARSEILLES LES AUBIGNY,18139,"[47.067301,3.0139462]",1,02/03/2017,7/13/2022
Marseilles les Aubigny,Rue du Port - 18320 MARSEILLES LES AUBIGNY,18139,"[47.067301,3.0139462]",1,02/03/2017,7/13/2022
Massay,Avenue du Marechal Foch - 18120 MASSAY,18140,"[47.155189,1.9958933]",1,6/20/2017,7/13/2022
Massay,Avenue du Marechal Foch - 18120 MASSAY,18140,"[47.155189,1.9958933]",1,6/20/2017,7/13/2022
Menetou Salon,Place de l Eglise - 18510 MENETOU-SALON,18145,"[47.2317681,2.4902011]",1,5/27/2016,7/13/2022
Menetou Salon,Place de l Eglise - 18510 MENETOU-SALON,18145,"[47.2317681,2.4902011]",1,5/27/2016,7/13/2022
Menetreol sur Sauldre,Place de l Eglise - 18700 MENETREOL-SUR-SAULDRE,18147,"[47.4479337,2.3079044]",1,3/16/2018,7/13/2022
Menetreol sur Sauldre,Place de l Eglise - 18700 MENETREOL-SUR-SAULDRE,18147,"[47.4479337,2.3079044]",1,3/16/2018,7/13/2022
Mereau,Place de la Mairie - 18120 MEREAU,18148,"[47.1626718,2.0500585]",1,10/15/2015,7/13/2022
Mereau,Place de la Mairie - 18120 MEREAU,18148,"[47.1626718,2.0500585]",1,10/15/2015,7/13/2022
Nançay,Place de la Mairie - 18330 NANCAY,18159,"[47.3504379,2.1957124]",1,1/13/2016,7/13/2022
Nançay,Place de la Mairie - 18330 NANCAY,18159,"[47.3504379,2.1957124]",1,1/13/2016,7/13/2022
Nerondes,Route de Bourges - 18350 NERONDES,18160,"[46.9973881,2.8114988]",1,03/09/2018,7/13/2022
Nerondes,Route de Bourges - 18350 NERONDES,18160,"[46.9973881,2.8114988]",1,03/09/2018,7/13/2022
Neuvy sur Barangeon,Place de la Mairie - 18330 NEUVY-SUR-BARANGEON,18165,"[47.3148464,2.2548729]",1,10/05/2015,7/13/2022
Neuvy sur Barangeon,Place de la Mairie - 18330 NEUVY-SUR-BARANGEON,18165,"[47.3148464,2.2548729]",1,10/05/2015,7/13/2022
Orval,Route de Lignière - 18200 ORVAL,18172,"[46.72504,2.4821]",1,3/31/2021,7/13/2022
Orval,Route de Lignière - 18200 ORVAL,18172,"[46.72504,2.4821]",1,3/31/2021,7/13/2022
Ourouer les Bourdelins,Place du Marché - 18350 OUROUER LES BOURDELINS,18175,"[46.9306179,2.784353]",1,1/24/2018,7/13/2022
Ourouer les Bourdelins,Place du Marché - 18350 OUROUER LES BOURDELINS,18175,"[46.9306179,2.784353]",1,1/24/2018,7/13/2022
Plaimpied Givaudins,Rue des Gobbiers - 18340 PLAIMPIED GIVAUDINS,18180,"[46.9980069,2.4522788]",1,3/17/2017,7/13/2022
Plaimpied Givaudins,Rue des Gobbiers - 18340 PLAIMPIED GIVAUDINS,18180,"[46.9980069,2.4522788]",1,3/17/2017,7/13/2022
Preveranges,Rue des Ecoles - 18370 PREVERANGES,18187,"[46.4339652,2.2541854]",1,2/21/2018,7/13/2022
Preveranges,Rue des Ecoles - 18370 PREVERANGES,18187,"[46.4339652,2.2541854]",1,2/21/2018,7/13/2022
Raymond,Le Far West - 18130 RAYMOND,18191,"[46.9695843,2.6852991]",1,08/10/2016,7/13/2022
Raymond,Le Far West - 18130 RAYMOND,18191,"[46.9695843,2.6852991]",1,08/10/2016,7/13/2022
Reigny,Le Bourg - 18270 REIGNY,18192,"[46.5770422,2.3515222]",1,2/21/2018,7/13/2022
Reigny,Le Bourg - 18270 REIGNY,18192,"[46.5770422,2.3515222]",1,2/21/2018,7/13/2022
Rians,Place de l Eglise - 18220 RIANS,18194,"[47.1853353,2.6134124]",1,3/24/2017,7/13/2022
Rians,Place de l Eglise - 18220 RIANS,18194,"[47.1853353,2.6134124]",1,3/24/2017,7/13/2022
St Doulchard - Parking1,Clos Chaperon - 18230 SAINT-DOULCHARD,18205,"[47.101045,2.3729787]",1,2/21/2018,7/13/2022
St Doulchard - Parking1,Clos Chaperon - 18230 SAINT-DOULCHARD,18205,"[47.101045,2.3729787]",1,2/21/2018,7/13/2022
St Doulchard - Parking2,Avenue du General de Gaulle - 18230 SAINT-DOULCHARD,18205,"[47.1012245,2.3731237]",1,2/21/2018,7/13/2022
St Doulchard - Parking2,Avenue du General de Gaulle - 18230 SAINT-DOULCHARD,18205,"[47.1012245,2.3731237]",1,2/21/2018,7/13/2022
St Florent - Place de la Republique,Place de la Republique - 18400 ST FLORENT SUR CHER,18207,"[46.9925471,2.2447831]",1,03/08/2017,7/13/2022
St Florent - Place de la Republique,Place de la Republique - 18400 ST FLORENT SUR CHER,18207,"[46.9925471,2.2447831]",1,03/08/2017,7/13/2022
St Florent - Rue Blaise Pascal,Rue Blaise Pascal - 18400 ST FLORENT SUR CHER,18207,"[47.004323,2.2658983]",1,03/08/2017,7/13/2022
St Florent - Rue Blaise Pascal,Rue Blaise Pascal - 18400 ST FLORENT SUR CHER,18207,"[47.004323,2.2658983]",1,03/08/2017,7/13/2022
St Germain du Puy,Place de l Eglise - 18390 ST GERMAIN DU PUY,18213,"[47.1001602,2.4826762]",1,12/27/2017,7/13/2022
St Germain du Puy,Place de l Eglise - 18390 ST GERMAIN DU PUY,18213,"[47.1001602,2.4826762]",1,12/27/2017,7/13/2022
St Hilaire de Gondilly,Golf - 18320 ST HILAIRE DE GONDILLY,18215,"[47.0447626,2.8885775]",1,02/03/2017,7/13/2022
St Hilaire de Gondilly,Golf - 18320 ST HILAIRE DE GONDILLY,18215,"[47.0447626,2.8885775]",1,02/03/2017,7/13/2022
St Just,Place de la Mairie - 18340 ST JUST,18218,"[46.9923185,2.509975]",1,11/27/2017,7/13/2022
St Just,Place de la Mairie - 18340 ST JUST,18218,"[46.9923185,2.509975]",1,11/27/2017,7/13/2022
St Martin d Auxigny,Place de la Mairie - 18110 ST MARTIN D AUXIGNY,18223,"[47.204208,2.4180206]",1,6/20/2017,7/13/2022
St Martin d Auxigny,Place de la Mairie - 18110 ST MARTIN D AUXIGNY,18223,"[47.204208,2.4180206]",1,6/20/2017,7/13/2022
St Satur,Rue de la Resistance - 18300 ST SATUR,18233,"[47.3369104,2.8578603]",1,4/27/2017,7/13/2022
St Satur,Rue de la Resistance - 18300 ST SATUR,18233,"[47.3369104,2.8578603]",1,4/27/2017,7/13/2022
Ste Thorette,Parking de covoiturage - 18500 STE THORETTE,18279,"[47.0811526,2.2018356]",1,5/29/2020,7/13/2022
Ste Thorette,Parking de covoiturage - 18500 STE THORETTE,18279,"[47.0811526,2.2018356]",1,5/29/2020,7/13/2022
